year,round_number,soft_cx,medium_cx,hard_cx
2024,1,C3,C2,C1
2024,2,C4,C3,C2
2024,3,C5,C4,C3
2024,4,C3,C2,C1
2024,5,C4,C3,C2
2024,6,C4,C3,C2
2024,7,C5,C4,C3
2024,8,C5,C4,C3
2024,9,C5,C4,C3
2024,10,C3,C2,C1
2024,11,C5,C4,C3
2024,12,C3,C2,C1
2024,13,C5,C4,C3
2024,14,C4,C3,C2
2024,15,C3,C2,C1
2024,16,C5,C4,C3
2024,17,C5,C4,C3
2024,18,C5,C4,C3
2024,19,C4,C3,C2
2024,20,C5,C4,C3
2024,21,C5,C4,C3
2024,22,C5,C4,C3
2024,23,C3,C2,C1
2024,24,C5,C4,C3
2025,1,C5,C4,C3
2025,2,C4,C3,C2
2025,3,C3,C2,C1
2025,4,C3,C2,C1
2025,5,C5,C4,C3
2025,6,C5,C4,C3
2025,7,C6,C5,C4
2025,8,C6,C5,C4
2025,9,C3,C2,C1
2025,10,C6,C5,C4
2025,11,C5,C4,C3
2025,12,C4,C3,C2
2025,13,C4,C3,C1
2025,14,C5,C4,C3
2025,15,C4,C3,C2
2025,16,C5,C4,C3
2025,17,C6,C5,C4
2025,18,C5,C4,C3
2025,19,C4,C3,C1
2025,20,C5,C4,C2
2025,21,C4,C3,C2
2025,22,C5,C4,C3
2025,23,C3,C2,C1
2025,24,C5,C4,C3
