race_id,mae_s,n_laps,baseline_mae_s,n_laps_baseline,b1_physics_only_mae_s,b1_physics_residual_mae_s,b2_physics_only_mae_s,b2_physics_residual_mae_s,b3_physics_only_mae_s,b3_physics_residual_mae_s,c1c_physics_residual_mae_s,c1d_blended_mae_s,d5_physics_only_mae_s,d5_physics_residual_mae_s,d5_blended_mae_s,e2_physics_only_mae_s,e2_physics_residual_mae_s,e2_blended_mae_s,e3_physics_only_mae_s,e3_physics_residual_mae_s,e3_blended_mae_s
2024-Bahrain,,944.000000,0.283848,882.000000,,,,,,,,,16.644806,0.396375,0.370661,16.644806,0.577759,0.419516,16.634520,0.564342,0.349755
2024-Saudi_Arabia,,783.000000,0.489239,745.000000,,,,,,,,,20.555373,0.479670,0.478064,20.555373,0.560313,0.521039,20.555373,0.560313,0.502507
2024-Australia,,815.000000,0.463214,760.000000,,,,,,,,,24.733960,4.371652,1.657253,24.733960,1.304825,0.909157,24.738648,1.288343,0.685144
2024-Japan,,712.000000,0.644252,660.000000,,,,,,,,,26.698963,6.359986,3.681471,26.533918,0.854732,0.723170,26.604044,0.815961,0.659914
2024-China,1.567125,705.000000,0.375611,648.000000,12.124395,1.567125,10.030512,4.165956,10.030512,1.213428,0.573670,0.484799,10.030512,0.573670,0.484799,10.004544,1.547781,0.933403,10.560332,1.953800,0.596200
2024-Miami,,907.000000,0.411351,860.000000,,,,,,,,,26.205499,3.969182,2.277199,26.205499,0.682250,0.524058,26.204797,0.680257,0.481060
2024-Emilia_Romagna,,1137.000000,0.449154,1091.000000,,,,,,,,,21.728900,6.335380,2.871410,21.728900,0.768275,0.547144,21.731175,0.766941,0.499371
2024-Monaco,3.148140,1148.000000,0.634253,1125.000000,34.508791,3.148140,13.578286,18.000962,13.578286,0.813609,0.873995,0.673402,13.578286,0.873995,0.673402,13.578286,1.009284,0.732355,13.578286,1.029693,0.629541
2024-Canada,,853.000000,1.196026,793.000000,,,,,,,,,8.800968,7.181775,3.260448,8.800968,2.416232,1.291289,8.835698,1.449234,1.087863
2024-Spain,1.147223,1163.000000,0.476126,1101.000000,32.952005,1.147223,11.175774,20.340818,11.175774,0.651050,0.757393,0.575936,11.175774,0.757393,0.575936,11.175774,1.472118,0.913462,11.355879,1.305922,0.584122
2024-Austria,,1204.000000,0.368394,1142.000000,,,,,,,,,12.060823,5.222597,2.756357,12.060823,0.769362,0.530978,12.062605,0.809439,0.409007
2024-Britain,,805.000000,1.317715,743.000000,,,,,,,,,18.505280,1.166699,1.247801,18.505280,1.213361,1.268588,18.530218,1.219049,1.261890
2024-Hungary,,1192.000000,0.490305,1133.000000,,,,,,,,,11.984486,3.662194,1.411087,11.984486,0.667534,0.526332,11.981259,0.728447,0.529302
2024-Belgium,1.792443,700.000000,0.425892,647.000000,4.819693,1.792443,26.064697,20.900959,26.064697,1.550465,1.350169,0.632869,26.064697,1.350169,0.632869,26.064697,1.353071,0.779569,26.050669,1.329258,0.543437
2024-Netherlands,,1327.000000,0.426812,1281.000000,,,,,,,,,18.363269,0.974834,0.633571,18.363269,0.687305,0.554513,18.363269,0.692025,0.501895
2024-Italy,,897.000000,0.453462,848.000000,,,,,,,,,16.867886,1.984066,0.816363,16.867886,1.619898,1.009041,16.860152,1.619595,0.596528
2024-Azerbaijan,,834.000000,0.526791,798.000000,,,,,,,,,20.244789,4.595355,2.114606,20.244789,0.601796,0.486553,20.245332,0.622449,0.480432
2024-Singapore,,1086.000000,0.520685,1043.000000,,,,,,,,,8.111695,1.782094,0.800380,8.111695,1.101719,0.738929,8.109548,1.164837,0.706324
2024-United_States,,842.000000,0.393124,801.000000,,,,,,,,,24.662462,4.723278,2.283313,24.662462,1.111947,0.728730,24.663553,1.111062,0.495881
2024-Mexico_City,,1023.000000,0.382267,986.000000,,,,,,,,,21.899983,6.591333,3.215504,22.008084,0.466777,0.400127,21.992939,0.468033,0.380632
2024-Sao_Paulo,,759.000000,0.781655,724.000000,,,,,,,,,3.554537,3.858752,2.091614,3.554537,5.530894,3.121109,3.393133,0.821820,0.814711
2024-Las_Vegas,,800.000000,0.617358,743.000000,,,,,,,,,26.155717,5.939079,3.441050,26.155717,1.175505,0.906047,26.155201,1.153743,0.743813
2024-Qatar,,640.000000,0.342657,603.000000,,,,,,,,,18.671965,2.201430,0.610477,18.671965,0.535089,0.388562,18.679326,0.531984,0.360037
2024-Abu_Dhabi,0.720222,840.000000,0.285528,798.000000,24.150170,0.720222,18.248451,5.256789,18.248451,0.934929,0.417668,0.329151,18.248451,0.417668,0.329151,18.248451,0.423784,0.335459,18.246650,0.417657,0.291629
OVERALL,1.734799,22116.000000,0.522163,20955.000000,24.106615,1.734799,15.210565,14.535241,15.210565,0.971287,0.787123,0.549412,17.348612,3.150364,1.605192,17.347383,1.140217,0.777395,17.378467,0.948102,0.582858
